ranking,title,artist,year,artist_first,lyrics_url
68,"Sugar, We're Goin' Down",Fall Out Boy,2006,Fall Out Boy,https://www.azlyrics.com/lyrics/falloutboy/sugarweregoingdown.html
69,Gimme That,Chris Brown Featuring Lil Wayne,2006,Chris Brown,https://www.azlyrics.com/lyrics/chrisbrown/gimmethat.html
70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006,Yung Joc,https://www.azlyrics.com/lyrics/yungjoc/iknowyouseeit.html
71,Who Says You Can't Go Home,Bon Jovi,2006,Bon Jovi,https://www.azlyrics.com/lyrics/bonjovi/whosaysyoucantgohome.html
72,Too Little Too Late,JoJo,2006,JoJo,https://www.azlyrics.com/lyrics/jojo/toolittletoolate.html
73,Touch It,Busta Rhymes,2006,Busta Rhymes,https://www.azlyrics.com/lyrics/bustarhymes/touchitremix.html
74,Rompe,Daddy Yankee,2006,Daddy Yankee,https://www.azlyrics.com/lyrics/daddyyankee/rompe.html
75,Deja Vu,Beyonce Featuring Jay Z,2006,Beyoncé,https://www.azlyrics.com/lyrics/beyonceknowles/djvu.html
76,Life Is A Highway,Rascal Flatts,2006,Rascal Flatts,https://www.azlyrics.com/lyrics/rascalflatts/lifeisahighway.html
77,Call Me When You're Sober,Evanescence,2006,Evanescence,https://www.azlyrics.com/lyrics/evanescence/callmewhenyouresober.html
78,"Jesus, Take The Wheel",Carrie Underwood,2006,Carrie Underwood,https://www.azlyrics.com/lyrics/carrieunderwood/jesustakethewheel.html
79,Show Stopper,Danity Kane,2006,Danity Kane,https://www.azlyrics.com/lyrics/danitykane/showstopper.html
80,Get Up,Ciara Featuring Chamillionaire,2006,Ciara,https://www.azlyrics.com/lyrics/ciara/getup.html
81,We Be Burnin',Sean Paul,2006,Sean Paul,https://www.azlyrics.com/lyrics/seanpaul/webeburnin.html
82,Hate Me,Blue October,2006,Blue October,https://www.azlyrics.com/lyrics/blueoctober/hateme.html
83,You And Me,Lifehouse,2006,Lifehouse,https://www.azlyrics.com/lyrics/lifehouse/youandme.html
84,Beep,The Pussycat Dolls Featuring will.i.am,2006,The Pussycat Dolls,https://www.azlyrics.com/lyrics/pussycatdolls/beep.html
85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,Dem Franchize Boyz,https://www.azlyrics.com/lyrics/demfranchizeboyz/ithinktheylikemeremix.html
86,Say Goodbye,Chris Brown,2006,Chris Brown,https://www.azlyrics.com/lyrics/chrisbrown/saygoodbye.html
87,Waiting On The World To Change,John Mayer,2006,John Mayer,https://www.azlyrics.com/lyrics/johnmayer/waitingontheworldtochange.html
88,Soul Survivor,Young Jeezy Featuring Akon,2006,Young Jeezy,https://www.azlyrics.com/lyrics/youngjeezy/soulsurvivor.html
89,Pump It,The Black Eyed Peas,2006,The Black Eyed Peas,NA
90,When I'm Gone,Eminem,2006,Eminem,https://www.azlyrics.com/lyrics/eminem/whenimgone.html
91,Hung Up,Madonna,2006,Madonna,https://www.azlyrics.com/lyrics/madonna/hungup.html
92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,Three 6 Mafia,https://www.azlyrics.com/lyrics/three6mafia/stayfly.html
93,Love,Keyshia Cole,2006,Keyshia Cole,https://www.azlyrics.com/lyrics/keyshiacole/love.html
94,When You're Mad,Ne-Yo,2006,Ne-Yo,https://www.azlyrics.com/lyrics/neyo/whenyouremad.html
95,Why You Wanna,T.I.,2006,T.I.,https://www.azlyrics.com/lyrics/ti/whyyouwanna.html
96,Stupid Girls,P!nk,2006,P!nk,NA
97,Feel Good Inc,Gorillaz,2006,Gorillaz,https://www.azlyrics.com/lyrics/gorillaz/feelgoodinc.html
98,I'm Sprung,T-Pain,2006,T-Pain,https://www.azlyrics.com/lyrics/tpain/imsprung.html
99,Do I Make You Proud,Taylor Hicks,2006,Taylor Hicks,https://www.azlyrics.com/lyrics/taylorhicks/doimakeyouproud.html
100,For You I Will (Confidence),Teddy Geiger,2006,Teddy Geiger,https://www.azlyrics.com/lyrics/teddygeiger/foryouiwillconfidence.html
1,Irreplaceable,Beyonce,2007,Beyoncé,https://www.azlyrics.com/lyrics/beyonceknowles/irreplaceable.html
2,Umbrella,Rihanna Featuring Jay-Z,2007,Rihanna,https://www.azlyrics.com/lyrics/rihanna/umbrella.html
3,The Sweet Escape,Gwen Stefani Featuring Akon,2007,Gwen Stefani,https://www.azlyrics.com/lyrics/gwenstefani/thesweetescape.html
4,Big Girls Don't Cry,Fergie,2007,Fergie,https://www.azlyrics.com/lyrics/fergie/biggirlsdontcry.html
5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,T-Pain,https://www.azlyrics.com/lyrics/tpain/buyuadrankshawtysnappin.html
6,Before He Cheats,Carrie Underwood,2007,Carrie Underwood,https://www.azlyrics.com/lyrics/carrieunderwood/beforehecheats.html
7,Hey There Delilah,Plain White T's,2007,Plain White T's,https://www.azlyrics.com/lyrics/plainwhitets/heytheredelilah.html
8,I Wanna Love You,Akon Featuring Snoop Dogg,2007,Akon,https://www.azlyrics.com/lyrics/akon/iwannaloveyou.html
9,Say It Right,Nelly Furtado,2007,Nelly Furtado,https://www.azlyrics.com/lyrics/nellyfurtado/sayitright.html
10,Glamorous,Fergie Featuring Ludacris,2007,Fergie,https://www.azlyrics.com/lyrics/fergie/glamorous.html
11,Don't Matter,Akon,2007,Akon,https://www.azlyrics.com/lyrics/akon/dontmatter.html
12,Girlfriend,Avril Lavigne,2007,Avril Lavigne,https://www.azlyrics.com/lyrics/avrillavigne/girlfriend.html
13,Makes Me Wonder,Maroon 5,2007,Maroon 5,https://www.azlyrics.com/lyrics/maroon5/makesmewonder.html
14,Party Like A Rockstar,Shop Boyz,2007,Shop Boyz,https://www.azlyrics.com/lyrics/shopboyz/partylikearockstar.html
15,Smack That,Akon Featuring Eminem,2007,Akon,https://www.azlyrics.com/lyrics/akon/smackthat.html
16,This Is Why I'm Hot,Mims,2007,Mims,https://www.azlyrics.com/lyrics/mims/thisiswhyimhot.html
17,It's Not Over,Daughtry,2007,Daughtry,https://www.azlyrics.com/lyrics/daughtry/itsnotover.html
18,The Way I Are,Timbaland Featuring Keri Hilson,2007,Timbaland,https://www.azlyrics.com/lyrics/timbaland/thewayiare.html
19,Fergalicious,Fergie,2007,Fergie,https://www.azlyrics.com/lyrics/fergie/fergalicious.html
20,Crank That (Soulja Boy),Soulja Boy Tell'em,2007,Soulja Boy Tell'em,NA
21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007,Timbaland,https://www.azlyrics.com/lyrics/timbaland/giveittome.html
22,What Goes Around...Comes Around,Justin Timberlake,2007,Justin Timberlake,https://www.azlyrics.com/lyrics/justintimberlake/whatgoesaroundcomesaroundinterlude.html
23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,2007,Gym Class Heroes,NA
24,How To Save A Life,The Fray,2007,The Fray,https://www.azlyrics.com/lyrics/fray/howtosavealife.html
25,Home,Daughtry,2007,Daughtry,https://www.azlyrics.com/lyrics/daughtry/home.html
26,My Love,Justin Timberlake Featuring T.I.,2007,Justin Timberlake,https://www.azlyrics.com/lyrics/justintimberlake/mylove.html
27,Stronger,Kanye West,2007,Kanye West,https://www.azlyrics.com/lyrics/kanyewest/stronger.html
28,We Fly High,Jim Jones,2007,Jim Jones,https://www.azlyrics.com/lyrics/jimjones/weflyhigh.html
29,U + Ur Hand,P!nk,2007,P!nk,NA
30,Walk It Out,Unk,2007,Unk,https://www.azlyrics.com/lyrics/unk/walkitout.html
31,Beautiful Girls,Sean Kingston,2007,Sean Kingston,https://www.azlyrics.com/lyrics/seankingston/beautifulgirls.html
32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007,Fall Out Boy,https://www.azlyrics.com/lyrics/falloutboy/thisaintasceneitsanarmsrace.html
33,Bartender,T-Pain Featuring Akon,2007,T-Pain,https://www.azlyrics.com/lyrics/tpain/bartender.html
34,"Pop, Lock & Drop It",Huey,2007,Huey,https://www.azlyrics.com/lyrics/huey/poplockanddropit.html
35,Runaway Love,Ludacris Featuring Mary J. Blige,2007,Ludacris,https://www.azlyrics.com/lyrics/ludacris/runawaylove.html
36,Rockstar,Nickelback,2007,Nickelback,https://www.azlyrics.com/lyrics/nickelback/rockstar.html
37,Thnks Fr Th Mmrs,Fall Out Boy,2007,Fall Out Boy,https://www.azlyrics.com/lyrics/maine/thnksfrthmmrs.html
38,What I've Done,Linkin Park,2007,Linkin Park,https://www.azlyrics.com/lyrics/linkinpark/whativedone.html
39,Summer Love,Justin Timberlake,2007,Justin Timberlake,https://www.azlyrics.com/lyrics/chelseacutler/summerlove.html
40,You,Lloyd Featuring Lil Wayne,2007,Lloyd,https://www.azlyrics.com/lyrics/lloydbanks/youalreadyknow.html
41,Wait For You,Elliott Yamin,2007,Elliott Yamin,https://www.azlyrics.com/lyrics/elliottyamin/waitforyou.html
42,Last Night,Diddy Featuring Keyshia Cole,2007,Diddy,https://www.azlyrics.com/lyrics/keyshiacole/lastnight.html
43,Make It Rain,Fat Joe Featuring Lil Wayne,2007,Fat Joe,https://www.azlyrics.com/lyrics/fatjoe/makeitrain.html
